tdat,season,visitID,surveyID,date,dts,dtf,bidID,trmt,area,observer,approach,wind,heat,precip,clouds,dry,moist,flooded,green,dead,straw,bare,residue,stub50,stub200,veg50,veg200,water50,water200,program,ID,IDNUM,comments,cover,clods,levee,American.Avocet,Baird.s.Sandpiper,Bar.tailed.Godwit,Black.bellied.Plover,Black.necked.Stilt,Dunlin,Greater.Yellowlegs,Killdeer,Least.Sandpiper,Lesser.Yellowlegs,Long.billed.Curlew,Long.billed.Dowitcher,Marbled.Godwit,Pectoral.Sandpiper,Red.necked.Phalarope,Semipalmated.Plover,Solitary.sandpiper,Unidentified.Dowitcher,Unidentified.Peep,Unidentified.Phalarope,Unidentified.Plover,Unidentified.shorebird,Unidentified.Yellowlegs,Western.Sandpiper,Whimbrel,Wilson.s.Phalarope,Wilson.s.Snipe,American.Bittern,Caspian.Tern,Cattle.Egret,Forster.s.Tern,Great.Blue.Heron,Great.Egret,Green.Heron,Sandhill.Crane,Snowy.Egret,White.faced.Ibis,American.Wigeon,Blue.winged.Teal,Bufflehead,Cackling.Goose,Canada.Goose,Canvasback,Cinnamon.Teal,Common.Gallinule,Eared.Grebe,Eurasian.Wigeon,Gadwall,Goldeneye,Greater.White.fronted.Goose,Green.winged.Teal,Horned.Grebe,Lesser.Scaup,Mallard,Mute.Swan,Northern.Pintail,Northern.Shoveler,Pied.billed.Grebe,Redhead,Ross.s.Goose,Ruddy.Duck,Snow.Goose,Sora,Trumpeter.Swan,Tundra.Swan,Unidentified.dabbling.duck,Unidentified.dark.Goose,Unidentified.diving.duck,Unidentified.duck,Unidentified.Grebe,Unidentified.Swan,Unidentified.white.Goose,Wood.Duck,Virginia.Rail,American.Coot,Cooper.s.Hawk,Sharp.shinned.Hawk,Red.shouldered.Hawk,Red.tailed.Hawk,Swainson.s.Hawk,Unidentified.Buteo,Double.crested.Cormorant,American.Crow,Common.Raven,Bald.Eagle,Golden.Eagle,American.Kestrel,Merlin,Peregrine.Falcon,Prairie.Falcon,California.Gull,Franklin.s.Gull,Herring.Gull,Ring.billed.Gull,Unidentified.Gull,Unidentified.small.Gull,Northern.Harrier,Belted.Kingfisher,White.tailed.Kite,American.White.Pelican,Turkey.Vulture,stubx,vegx,waterx,totbirds,shorebirds,wadingbirds,waterfowl,density,dens.shore,dens.wader,dens.wfowl,logdens.shore,logdens.wader,logdens.wfowl,richness,rich.shore,rich.wader,rich.wfowl,diversity,div.shore,div.wader,div.wfowl,waterxcm,stubxcm,vegxcm,date1,date2,date3,tdat2
t1,t1.spring2014,A1027,M045,2/13/2014,2/13/2014 13:29,2/13/2014 13:40,217,Treatment,11.6,Simon Avery,Truck,air felt on face,none,none,100,0,30,0,0,20,10,70,no,5,5,1,1,0,0,SR14-6wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,0.086206897,0.086206897,0,0,0.082691716,0,0,1,1,0,0,0,0,0,0,0,12.7,2.54,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A103,M086,2/3/2014,2/3/2014 15:25,2/3/2014 15:36,233,Treatment,9.51,Simon Avery,ATV,smoke drifts,none,none,0,0,0,100,0,30,20,0,yes,3,5,1,1,3,3,SR14-4wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,11,0,0,0,1.156677182,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.62,10.16,2.54,2/3/2014,2/1/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1030,M079,2/13/2014,2/13/2014 14:12,2/13/2014 14:22,210,Treatment,15.84,Simon Avery,ATV,smoke drifts,none,none,100,0,0,100,0,10,0,0,,9,9,1,1,7,7,SR14-6wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,7,321,0,4,220,20.26515152,0,0.252525253,13.88888889,0,0.225161715,2.700615223,3,0,1,1,0.675209963,0,0,0,17.78,22.86,2.54,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1033,M073,2/13/2014,2/13/2014 14:37,2/13/2014 14:52,210,Treatment,12.15,Simon Avery,ATV,air felt on face,none,none,100,0,0,90,0,20,0,90,yes,7,9,1,1,5,5,SR14-6wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,1,5,56,1,3,16,4.609053498,0.082304527,0.24691358,1.316872428,0.079092589,0.220671362,0.840218185,8,1,2,2,1.175072241,0,0.636514168,0.376770161,12.7,20.32,2.54,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1036,M013,2/13/2014,2/13/2014 15:01,2/13/2014 15:20,210,Treatment,15.56,Simon Avery,ATV,air felt on face,none,none,100,0,0,90,0,20,0,10,no,9,7,1,1,7,7,SR14-6wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,20,0,200,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,531,5,106,420,34.12596401,0.321336761,6.812339332,26.99228792,0.278643922,2.055704449,3.331929041,8,3,1,4,1.464656815,1.054920168,0,1.142472017,17.78,20.32,2.54,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1039,M109,2/13/2014,2/13/2014 15:42,2/13/2014 15:54,217,Treatment,9.76,Simon Avery,Truck,leaves in motion,none,none,100,0,0,100,0,30,0,0,,9,9,1,1,7,7,SR14-6wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,16,0,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,7,84,1,1,71,8.606557377,0.102459016,0.102459016,7.274590164,0.097543154,0.097543154,2.113189393,8,1,1,5,1.486773482,0,0,1.151091277,17.78,22.86,2.54,2/13/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1042,C033,2/12/2014,2/12/2014 14:31,2/12/2014 14:33,241,Control,13.39,Emily Wells,On foot,leaves lifted up,none,none,80,60,40,0,40,0,0,60,no,1,1,3,3,0,0,SR14,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,0,0,0.224047797,0.224047797,0,0,0.202163233,0,0,1,1,0,0,0,0,0,0,0,2.54,7.62,2/12/2014,2/10/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1045,C005,2/12/2014,2/12/2014 14:48,2/12/2014 14:50,241,Control,13.7,Emily Wells,On foot,leaves lifted up,none,none,95,20,80,0,30,0,0,0,no,1,1,3,3,0,0,SR14,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,7.62,2/12/2014,2/10/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1048,C017,2/12/2014,2/12/2014 15:02,2/12/2014 15:04,241,Control,5.53,Emily Wells,On foot,leaves lifted up,light,none,80,80,20,0,50,0,0,50,no,1,1,3,3,0,0,SR14,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,7.62,2/12/2014,2/10/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1051,C041,2/12/2014,2/12/2014 16:02,2/12/2014 16:05,201,Control,11.64,Emily Wells,On foot,leaves lifted up,none,none,90,0,0,40,0,40,40,20,,3,3,1,1,0,0,SR14,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0.085910653,0.085910653,0,0,0.082418946,0,0,1,1,0,0,0,0,0,0,0,7.62,2.54,2/12/2014,2/10/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1054,C018,2/14/2014,2/14/2014 12:45,2/14/2014 13:11,206,Control,15.56,Greg Golet,Truck,small trees sway,none,none,40,0,0,60,0,0,20,20,yes,NA,NA,NA,NA,1,1,SR14,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,1,27,22,0,0,1.735218509,1.413881748,0,0,0.881236136,0,0,6,3,0,0,1.538696647,1.084362951,0,0,2.54,NA,NA,2/14/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1057,C010,2/14/2014,2/14/2014 13:10,2/14/2014 13:34,206,Control,13.46,Greg Golet,Truck,small trees sway,none,none,40,0,0,40,0,0,20,40,yes,NA,NA,NA,NA,0,0,SR14,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,NA,NA,0,501,0,497,0,37.22139673,0,36.92421991,0,0,3.635589956,0,5,0,2,0,0.069204995,0,0.01450218,0,0,NA,NA,2/14/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A106,M056,2/3/2014,2/3/2014 15:19,2/3/2014 15:26,233,Treatment,10.05,Whitney Pyatt,On foot,air felt on face,light,none,5,0,10,80,0,30,0,20,no,1,1,1,1,3,3,SR14-4wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0.099502488,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.62,2.54,2.54,2/3/2014,2/1/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1060,C034,2/14/2014,2/14/2014 13:37,2/14/2014 13:55,206,Control,15.04,Greg Golet,Truck,small trees sway,none,none,40,0,0,10,0,0,20,70,,NA,NA,NA,NA,0,0,SR14,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,19,17,2,0,1.263297872,1.130319149,0.132978723,0,0.756271804,0.124850203,0,2,1,1,0,0.336495758,0,0,0,0,NA,NA,2/14/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1063,M018,2/14/2014,2/14/2014 11:42,2/14/2014 11:47,209,Treatment,5.52,Simon Avery,ATV,small trees sway,light,none,70,0,0,100,0,0,0,0,no,7,9,1,1,7,5,SR14-4wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,6,9,0,0,4,1.630434783,0,0,0.724637681,0,0,0.545016989,2,0,0,1,0.686961577,0,0,0,15.24,20.32,2.54,2/14/2014,2/13/2014,2/1/2014,Spring 2014
t1,t1.spring2014,A1066,M137,2/14/2014,2/14/2014 11:43,2/14/2014 11:48,209,Treatment,10.39,Billy Abbott,ATV,leaves lifted up,none,none,65,0,0,100,0,10,0,0,,9,9,1,1,7,7,SR14-4wk,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,7,76,0,18,0,7.314725698,0,1.732435034,0,0,1.005193165,0,4,0,2,0,0.664699799,0,0.214559155,0,17.78,22.86,2.54,2/14/2014,2/13/2014,2/1/2014,Spring 2014
